family,rung_a,rung_b,quadrant,n,p_a,p_b,joint,phi,ci_low,ci_high,phi_2023,phi_2024,phi_2025,phi_2026
combined_starter_er,k>=6,combined_er<=5,both,15544,0.382141,0.607180,0.259328,0.115041,0.100574,0.130575,0.109206,0.112483,0.127124,0.110115
combined_starter_er,k>=6,combined_er<=6,both,15544,0.382141,0.721693,0.299408,0.108462,0.092687,0.123968,0.110817,0.099339,0.119502,0.101676
team_k_thrown,k>=6,team_k>=7,both,15544,0.382141,0.694931,0.372941,0.479950,0.470491,0.490490,0.456874,0.493467,0.479331,0.498425
team_k_thrown,k>=6,team_k>=8,both,15544,0.382141,0.559894,0.344635,0.541761,0.529830,0.553692,0.516872,0.551626,0.545335,0.562632
team_k_thrown,k>=6,team_k>=9,both,15544,0.382141,0.424858,0.293489,0.545944,0.531209,0.560171,0.540182,0.543964,0.557835,0.538506
team_hits_allowed,k>=6,team_hits<=7,both,15544,0.382141,0.480957,0.231665,0.197181,0.181555,0.214056,0.185615,0.221468,0.192849,0.182575
team_hits_allowed,k>=6,team_hits<=8,both,15544,0.382141,0.598559,0.275605,0.196780,0.182198,0.210769,0.202099,0.200866,0.189407,0.193232
team_hits_allowed,k>=6,team_hits<=9,both,15544,0.382141,0.704709,0.311503,0.190403,0.175480,0.205146,0.192702,0.191095,0.192005,0.182224
outpitch,k>=7,my_er<their_er,both,12992,0.244920,0.500000,0.155634,0.154285,,,0.152411,0.168485,0.148752,0.142301
combined_starter_er,k>=7,combined_er<=4,both,15544,0.248006,0.478255,0.140504,0.101493,,,0.099298,0.085593,0.117262,0.107865
combined_starter_er,k>=7,combined_er<=5,both,15544,0.248006,0.607180,0.171449,0.098928,,,0.089347,0.096960,0.116686,0.091293
combined_starter_er,k>=7,combined_er<=6,both,15544,0.248006,0.721693,0.197054,0.093362,,,0.097377,0.084578,0.106911,0.079799
team_k_thrown,k>=7,team_k>=7,both,15544,0.248006,0.694931,0.247491,0.377910,,,0.361380,0.388046,0.380262,0.384646
